"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/test/auth/v2/login",6,0,460,468,423,516,206,0.24
"GET","/test/ls/v2/missions",0,0,0,0,0,0,0,0.00
"GET","/test/ls/v2/missions/9c507c0c-052d-4806-bfa8-f6621f48ccc1",2,0,880,880,875,886,23726,0.08
"GET","/test/ls/v2/users/encouragements",2,0,2900,3343,2945,3741,2,0.08
"GET","/test/ls/v2/users/progress",1,0,3500,3460,3460,3460,20565,0.04
"GET","/test/ls/v2/users/results",1,0,1000,1043,1043,1043,8856,0.04
"GET","/test/ls/v2/users/trophies",1,0,1900,1882,1882,1882,4287,0.04
"GET","/test/ps/v2/users/profiles",5,0,710,850,601,1469,1380,0.20
"None","Total",18,0,710,1216,601,3741,4961,0.71
